dataset,horizon,model,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,var,var_states,peak_mae
australia-covid,14,dcrnn,503.463,1160.8922,1298.4301579214803,522.38654,0.9573842588883759,0.14295575099839503,0.5257514102014851,-4978.233832665786,0.5945844054222107,-7.325471609830856,448.30164
australia-covid,14,CNNRNN_Res,215.10373,459.30563,571.1906424303536,241.77396,0.9877925488674113,0.18252001942594598,0.9082235877973853,-811.9949206157694,0.9204014539718628,-786.7469711080194,179.98938
spain-covid,3,cola_gnn,14.468773,61.55571,134.61969726093207,25.487709,0.46985153750583825,nan,0.21766854832135207,-3.6511510016550557,0.21936345100402832,-0.47400799966775453,4.0682025
spain-covid,3,SelfAttnRNN,22.938042,71.72245,148.8083394000484,34.829884,0.24693793838474265,nan,0.04406553615867914,-10.371708984854966,0.05187821388244629,-1.3319226446060033,4.661606
spain-covid,3,lstnet,26.589622,98.38994,176.65449483914924,39.526627,0.44067883251710566,nan,-0.34717174262817574,-12.16795278213438,-0.32994377613067627,-1.173422783613205,2.5038557
spain-covid,3,dcrnn,14.71798,73.80549,143.92574175811984,26.49986,0.5594693390406612,nan,0.1057672561843831,-4.196898219207001,0.1069498062133789,-2.322368275660735,2.237151
spain-covid,3,CNNRNN_Res,24.902327,77.605194,173.0020152068322,41.99896,-0.07813481219098967,nan,-0.292039762461032,-16.788210663382014,-0.28653907775878906,-2.2597469779161306,5.290469
spain-covid,7,cola_gnn,30.481638,90.69406,141.35603735559016,41.506226,0.22136226932221278,nan,-0.7807691616267078,-54.920387707753925,-0.7375428676605225,-27.874004756028835,1.8781329
spain-covid,7,SelfAttnRNN,34.937412,102.73273,148.5256974819509,44.143288,0.07750542777701463,nan,-0.9659936797106701,-62.306040136945896,-0.9244464635848999,-7.5932557284832,2.2859857
spain-covid,7,lstnet,47.275646,140.46156,178.92733227311862,55.653652,0.1565804458096937,nan,-1.8532003627865938,-62.095066760832765,-1.6971609592437744,-5.483384375388805,1.9077129
spain-covid,7,dcrnn,9.704536,31.347452,98.66402012480285,20.582552,0.38468745178576325,nan,0.13244599273319957,-10.3010833961801,0.13252407312393188,-9.364504614701637,2.2621803
spain-covid,7,CNNRNN_Res,22.599371,32.001053,109.45262870158716,33.882946,0.02997792126951386,nan,-0.06765603660457509,-93.65797575315906,-0.04000890254974365,0.23386206076695368,2.4582365
spain-covid,14,cola_gnn,129649740000000.0,563960400000000.0,807413180390403.8,183020100000000.0,0.0909597214515691,nan,-8.989781722026218e+25,-1.7255725661163192e+27,-8.959205438347218e+25,-1.6617733080472216e+27,1527767600000.0
spain-covid,14,SelfAttnRNN,68.42115,162.09386,235.16983557101875,90.610115,0.030309519096687675,nan,-6.626418776523878,-717.14464055622,-6.591034412384033,-699.5341126689544,1.5587395
spain-covid,14,lstnet,119.82205,475.4743,536.4381371602881,134.30783,0.1599338868781811,nan,-38.68228980705186,-496.285510433088,-37.0189323425293,-248.0914326631106,0.25589374
spain-covid,14,dcrnn,21.909927,59.005535,105.56734280632197,31.023907,0.01708471255955218,nan,-0.5367975633917461,-126.65778003506922,-0.4847303628921509,-59.33003054215358,1.6583613
spain-covid,14,CNNRNN_Res,59.249588,161.09819,211.10216720820276,76.27038,-0.0159910673142299,nan,-5.1452969519734255,-451.45514604113066,-4.848773956298828,-120.4360494338549,1.6999539
nhs_timeseries,3,cola_gnn,3.1106882,1.1523335,4.325904469373938,4.082401,0.9945054097232925,0.9903372745819066,0.9883681663584083,0.9756940794780217,0.9889088869094849,0.9768098763057164,0.053001057
nhs_timeseries,3,SelfAttnRNN,13.571685,4.593158,18.05955740114886,17.229166,0.9495622558766983,0.9017288329885432,0.7972744151710799,0.5631350914003541,0.8658455014228821,0.7227670465196881,0.12830748
nhs_timeseries,3,lstnet,5.0067377,1.8046336,6.936417503788626,6.5720663,0.9861582640692494,0.975928935231481,0.9700935578880705,0.9372552182602486,0.9707093238830566,0.9452916894640241,0.076007
nhs_timeseries,3,dcrnn,5.1834464,2.5050297,7.155596707438308,6.5602603,0.9842257756218681,0.9800881409259891,0.9681737065789406,0.9387083647310028,0.9685462713241577,0.9491361890520368,0.084567055
nhs_timeseries,3,CNNRNN_Res,7.446806,3.5767035,10.407311554338254,9.322907,0.9690344424207012,0.9671536588506046,0.932675769239913,0.8617992691621641,0.9330056309700012,0.920131938798087,0.2848043
nhs_timeseries,7,cola_gnn,13.382992,5.720474,20.10076848169461,18.601587,0.945226844743811,0.9049943431887425,0.7437863365114293,0.49379856180350873,0.7871311902999878,0.5888660550117493,0.17262562
nhs_timeseries,7,SelfAttnRNN,18.474024,6.2573824,28.510501466085373,27.386524,0.8236398242425665,0.7508405117718038,0.48454987155651186,-0.1928658514167365,0.5802007913589478,0.10077895436968122,0.32458073
nhs_timeseries,7,lstnet,8.672479,2.8896909,11.570050717624294,11.011507,0.9584182041814976,0.9400019280923935,0.9151117653812332,0.8128194390583355,0.9161941409111023,0.8509529232978821,0.10430658
nhs_timeseries,7,dcrnn,8.255488,2.8211212,11.074698236974182,10.578722,0.9632089716068376,0.937224170058912,0.9222248644413693,0.8158909203791868,0.9263473153114319,0.8487758040428162,0.120818205
nhs_timeseries,7,CNNRNN_Res,9.396355,4.6457357,12.921470552731883,11.625968,0.9542343857682452,0.9488305715235308,0.8941231855798308,0.7902068204691618,0.8941746950149536,0.8689540198871067,0.29018727
nhs_timeseries,14,cola_gnn,12.079839,3.8898678,15.895668812204937,15.180766,0.9364209139735379,0.8556647325041339,0.8339939188102617,0.596424101295805,0.8469153642654419,0.6409791963441032,0.13020979
nhs_timeseries,14,SelfAttnRNN,23.91031,9.715584,32.33490028386028,30.012808,0.8347828037854133,0.7176169019479497,0.31307479514357084,-0.41113553625338234,0.5641838312149048,0.2242686152458191,0.18488736
nhs_timeseries,14,lstnet,15.069589,6.2396517,20.33409384050475,18.759903,0.8732335391680712,0.8704642349693729,0.7283460441040042,0.4544318946444176,0.729833722114563,0.6433680738721576,0.17299104
nhs_timeseries,14,dcrnn,13.362225,4.0808563,17.824575299825256,17.174955,0.9075418133427606,0.8141198294862916,0.7912604475355142,0.4700574799973909,0.8144928812980652,0.5817592569759914,0.18182063
nhs_timeseries,14,CNNRNN_Res,14.199383,5.9760695,18.325744630430865,17.310875,0.8858564015137106,0.8825442836711478,0.7793572719774827,0.48039552062922747,0.7845288515090942,0.7658616048949105,0.43592596
ltla_timeseries,3,cola_gnn,68.748184,50.39316,141.45637578419715,112.209145,0.7748364143900319,0.6948603782268095,0.5780890853982183,0.3814411917541363,0.6003502607345581,0.4587663754981051,66.33918
ltla_timeseries,3,lstnet,46.946774,34.651592,108.60582217070593,85.088936,0.8701108466900489,0.8221248962571718,0.7512964563295672,0.6579790237557831,0.752980649471283,0.6670063559406547,46.1444
ltla_timeseries,3,dcrnn,57.556713,43.30228,121.29645534031486,95.86803,0.8387263850190547,0.8007474016514456,0.6897784305852562,0.5556114605056427,0.7018057703971863,0.611343702802094,56.441402
ltla_timeseries,3,CNNRNN_Res,99.68164,77.833275,188.1918278313381,149.73552,0.6189144254656974,0.6209165553441655,0.253246493678137,-0.16408809346301975,0.36278462409973145,0.2654589430619312,96.59583
ltla_timeseries,7,cola_gnn,106.04918,90.0535,256.49564445619734,190.2717,0.31163999963191047,0.3283520221709583,-0.3712749737751704,-1.0270005276602088,-0.23172688484191895,-0.6000385785936028,104.91822
ltla_timeseries,7,lstnet,90.19167,62.82568,173.10019000928335,141.27728,0.6618091023228824,0.47567943365594734,0.375460919123247,-0.010629871171842487,0.4378507733345032,0.2068807268014518,88.60148
ltla_timeseries,7,dcrnn,88.27538,63.07075,167.6417718585526,135.01006,0.6722488792588021,0.5240769661184841,0.41422726345129524,0.1022002856825113,0.4518929123878479,0.24162899342275435,86.56809
ltla_timeseries,7,CNNRNN_Res,109.830826,84.03652,202.32800373094673,162.05652,0.5376186545337255,0.40782068377837755,0.14674957202227612,-0.35779066847783053,0.28579866886138916,0.15411412363411278,107.277534
ltla_timeseries,14,cola_gnn,117.70961,84.61412,218.00263401505038,176.81555,0.46561656043947053,0.22153619568800126,0.030527918370324092,-0.5379403476137339,0.2167983055114746,-0.018153398908594603,115.8678
ltla_timeseries,14,lstnet,125.88928,95.23764,220.37254500901423,176.88075,0.4920686053901386,0.3287889931353215,0.009335030540327804,-0.5752768920741345,0.23873800039291382,0.11492421630249229,122.17349
ltla_timeseries,14,dcrnn,117.743515,83.94518,213.8795842582924,172.80807,0.488038318406848,0.2252801065403828,0.0668524540755826,-0.4720363689392201,0.23584425449371338,0.009338572300890441,115.137054
ltla_timeseries,14,CNNRNN_Res,149.61563,106.19896,247.87518122787122,202.42409,0.362834355666678,0.22723736629062247,-0.25336606193113864,-1.097405069178743,0.12328827381134033,-0.044721116622289024,146.83096
spain-covid,15,cola_gnn,642293430000000.0,2526409600000000.0,3467622437716232.0,869318560000000.0,0.037224792772703914,nan,-1.7024890740511182e+27,-3.0805772991915497e+28,-1.6791563475900896e+27,-2.376036573917302e+28,3984888200000.0
spain-covid,5,cola_gnn,20.62035,67.71032,128.9819436854438,32.67895,0.3303436700259659,nan,-0.1278076110177735,-20.49707001883507,-0.11385154724121094,-9.499872379578077,2.4047635
spain-covid,15,cola_gnn,642293430000000.0,2526409600000000.0,3467622437716232.0,869318560000000.0,0.037224792772703914,nan,-1.7024890740511182e+27,-3.0805772991915497e+28,-1.6791563475900896e+27,-2.376036573917302e+28,3984888200000.0
